name,age,street,city,state,zip,lng,lat
Daniel Phillips,57,141 Kelly Rapids,Mullinshaven,Arkansas,71927,-127.748605,33.216853
Dr. Steven Gross,68,043 Ronald Highway,South Eddieberg,Colorado,24986,96.740312,-2.322020
Anthony Cunningham,49,570 Jennifer Club Apt. 982,West Ana,Maine,57581,30.776639,-74.4886545
Kimberly Wagner,33,1309 Gray Flat,West Dominiquemouth,Illinois,21538,-101.548904,35.213217
Christopher Watson,47,536 Chambers Square,Brianborough,Maine,21728,25.208260,-55.5812055
Michael Beck,54,41410 Elliott Lights,Brandonburgh,Indiana,62384,-155.683846,-2.047285
Michael Williams,68,280 Kimberly Rest Suite 626,West Michaelfort,Florida,30532,131.529544,-40.390178
Elizabeth Reid,38,94524 Maxwell Gardens,Reillytown,Virginia,75808,5.031423,-49.6378925
Kathleen Reeves,41,2885 James Drives,Youngville,New Jersey,48060,-137.213023,65.9436135
Kelly Simon,32,615 Bryan Vista,Lake Howard,Hawaii,49946,79.196796,37.066347
Darren Hoover,47,232 Alan Mall Apt. 389,Lake Karen,Hawaii,50979,-116.019778,-31.017160
Paul Carter,37,522 Arnold Heights,Port Sharon,Kentucky,77635,-9.841869,-83.324506
Leslie Webb,51,111 Davis Lake Apt. 406,South Jonathan,Wyoming,25779,-138.651725,-37.492390
Victoria Johnson,50,2974 Kevin Harbor,North Sethshire,Michigan,26462,-46.128896,56.7830755
Carla Moreno,78,2428 Kramer Bridge Apt. 495,Bellside,Utah,06603,83.776394,7.2990495
Jason Jones,56,51204 Wolfe Flat,Monicaton,Vermont,65086,77.829199,74.5025875
Dana Cole,45,7052 Pam Wells Apt. 844,South Jenniferfort,Hawaii,66878,-170.001070,61.3869535
Alexandra Patterson,28,171 Janice Plaza Suite 561,Baldwinmouth,Alabama,55576,77.057590,-2.891191
Michelle Larsen,39,871 Brown Road,Cherylville,New York,64737,-159.318908,-67.0986505
Benjamin Gillespie,43,594 Brady Causeway Apt. 092,Lake Jennifer,Alaska,71545,-43.789222,-15.206539
Theresa Coleman,78,63636 Kenneth River,Douglasside,South Dakota,61870,155.210313,-28.702384
Sharon Ortega,78,9774 Todd Manor Apt. 118,North Zachary,Iowa,04671,87.719447,66.8390855
Jason Gomez,28,30143 Rebecca Avenue Suite 364,Bradshawfurt,Maryland,26942,174.902168,-74.664835
Eric Black,59,624 Jonathan Circle Apt. 117,South Mariahaven,California,49555,45.120369,47.0198565
Bill Schroeder,25,1378 Jennifer Ville,Lake Christopher,South Dakota,15950,160.445956,-75.5555375
Brandon Norris,58,184 Brandy Run,Lake Jennifertown,Nevada,54024,-128.104109,-17.3160085
Christine Kim,30,325 Paul Flat,Port Angelafort,North Dakota,65408,169.021835,71.7782195
David Cortez,50,222 Baldwin Drive,Morrishaven,Maine,02919,-22.567232,74.2740555
Rachel Griffin,30,77059 Katrina Fords Apt. 446,North Steven,Oklahoma,09004,58.987330,26.804291
Marie Martin,59,1701 Benjamin Union,Lake William,Vermont,53499,79.207387,-55.566119
Audrey Gill,20,9280 Tina Burg Suite 166,Aimeeshire,Missouri,16257,146.653001,89.8587575
Belinda Pena,50,78408 Paula Street Apt. 514,West Claudia,Kentucky,81575,-36.797240,24.602273
Nicole Austin,27,006 Gonzalez Stravenue Suite 304,Jeffreyland,Idaho,81660,-139.916455,34.355018
Julia Hansen,59,6839 Adam Lakes,Lake Julia,Missouri,91442,-170.997498,1.891465
Frank Duncan,37,3166 Moreno Spur Suite 032,Marciastad,Kansas,68565,23.661031,19.0629775
Maxwell Hall,36,88153 Guerra Court,Milesside,South Dakota,77980,35.189000,-66.4803965
Laura Schroeder,25,2533 Willis Hollow Apt. 487,Horntown,Missouri,92547,27.192013,-59.221265
Craig Baker,69,96098 Cindy Parkway Suite 453,South Brianberg,Maryland,33249,-102.922249,70.115441
Joseph King,35,62470 Tyler Meadow,Kimberlyland,Utah,54577,-156.361147,-6.748663
Phillip Mcclure,46,85123 Williams Valleys Apt. 157,West Kelly,Georgia,20970,8.741680,-24.116795
Robert Villarreal,74,44398 Butler Glen Apt. 913,Garciaburgh,Nebraska,50000,-102.417250,-16.1078365
David Hernandez,32,017 Jeremy Locks Apt. 922,South Stacyshire,Iowa,14086,-179.804465,47.3937165
Robert King,65,7170 Harris Avenue Suite 043,West John,Illinois,72579,3.565751,-66.134573
Adam Simpson,77,01520 Jones Point Suite 008,Lake Stacy,New Hampshire,20182,67.866092,-74.757926
Christopher Simmons,47,04334 Wolf Manors,New Patricia,Connecticut,29557,-30.688811,7.2817875
Joshua Foster,18,143 Fischer Plain Suite 006,East Thomas,Vermont,23439,-54.362330,-12.724029
Natalie Harvey,31,085 Gloria Lodge Suite 088,Phyllisland,Illinois,01833,-145.674576,49.5885905
Edward Morgan,62,4225 Timothy Forest,Andersonchester,West Virginia,36980,119.736235,-57.725098
Mark Neal,54,60092 Roberts Villages Apt. 201,Gonzalesborough,Colorado,02166,0.455830,-80.994911
Amy Villa,71,722 Stephens Circles Suite 513,Bettyland,Arkansas,92246,-62.377259,39.8573345
Willie Petersen,63,4240 Jennifer Ports,Michaelmouth,Iowa,15029,-92.913556,-11.684981
Kelly White,34,4189 Theresa Ville Apt. 906,West Donald,Rhode Island,05848,56.129323,73.850428
Hunter Dyer,53,015 Anderson Manors,Jeffreyburgh,Delaware,09341,-50.718059,2.303112
John Hanna,57,3562 Price Stravenue Apt. 397,Michelleside,New Jersey,89369,19.363424,85.388569
Jennifer Jones,36,51119 Morgan Dale Apt. 144,Flemingfurt,Nevada,84248,91.503437,-23.5801955
Joshua Lee,76,704 Cervantes Streets,Clarkberg,West Virginia,18112,100.750817,-89.4382285
Meghan Jacobson,22,636 Morris Common Suite 636,Christinaburgh,Connecticut,70918,8.024114,17.7848065
Dorothy Lopez,57,2776 Kyle Fork,Keithtown,Hawaii,59559,49.537981,-16.3312665
Jessica Brown,76,1442 Freeman Brooks Apt. 652,New Jamesport,New York,28865,92.892418,-88.423794
Rachael Smith,61,955 Tammy Place Suite 164,Lake Anthonymouth,Indiana,54984,-126.697821,52.277350
Lawrence Hampton,47,92886 Shawn Burgs,Leonfort,Montana,89678,33.627763,-28.6891395
Stephen Ellis,34,7908 Benton Vista Apt. 870,West Christopherland,West Virginia,08315,-178.287933,-38.5336955
Sylvia Mckinney,58,77916 Jones Ports Apt. 397,Martinshire,New Hampshire,13962,161.685734,-24.5696225
Michael Martin,53,56781 Chung Groves,Jacksonville,Connecticut,72160,-163.517306,-54.7600605
Michelle Yates,65,75935 Kelly Radial,New Davidmouth,Indiana,13859,-84.442900,-76.279153
Sara Miranda,47,7902 Nicholas Ridge,North Jacobland,Wyoming,67164,-57.009181,-51.765912
Micheal Gonzalez,73,580 Haley Plaza,Blakemouth,Kentucky,48587,-62.510592,-85.737766
Robert Jacobs,80,70524 Carla Junctions,Charleshaven,Indiana,25562,-63.955500,-29.335758
Laura Sanchez,80,7314 Miller Terrace Apt. 724,Crystalmouth,New Jersey,03221,-99.883552,-44.279099
Mitchell Todd,35,407 Mora Ranch Apt. 246,Thomasshire,Massachusetts,94003,-46.945590,-52.1580795
Annette Krueger,49,542 Adams Islands Apt. 299,Lake Christopher,Louisiana,20435,150.412031,67.3813485
Cindy Blackwell,63,3160 Andrew Oval Apt. 836,Woodsmouth,Maine,06154,146.709791,56.9512725
Alicia Parrish,53,524 Alexis Tunnel Suite 587,Jaketown,Missouri,85773,9.541871,-27.027937
Howard Rivera,42,603 Alexandra Glen Apt. 484,West Darrellberg,South Carolina,96940,-75.198154,-46.1103555
Stephanie Jones,67,04691 Wu Row Apt. 789,Port Erin,Louisiana,61566,-124.754518,-58.7386475
Michael Cooper,62,023 Terry Village Suite 160,Osborneburgh,Hawaii,37415,123.717025,6.724701
Gina Salinas,73,94496 Warren Via,Bakerhaven,Texas,08392,98.548921,15.7449235
Mia James,28,871 Kelly Shore,North Kevin,Montana,65156,179.957546,-13.939523
Christopher Cooley,24,057 Emily Well Apt. 709,Williamsport,Iowa,81650,-163.343287,-27.112658
Chad Harrington,25,5643 Cynthia Hill,Cruzside,Pennsylvania,62104,-41.818885,88.922146
Richard Leonard,79,050 Walker Rest,West Jasminemouth,Kentucky,50832,96.271496,-83.1807995
Bethany Singh,46,46477 Chambers Glens,Brianton,Idaho,35863,-24.731999,43.4640565
William Ryan,57,665 Matthew Village,South Angela,Alabama,66468,174.253562,19.233891
Mark Green DDS,48,00337 Angela Trail,Port Steven,Rhode Island,25293,-18.614907,-35.3610085
Alexis Thomas,69,54368 Conrad Stravenue Apt. 994,Robertfurt,Mississippi,36054,-12.336243,24.8935425
Joseph Roy,35,904 Hanson Parks Suite 040,Lake Linda,Mississippi,81986,-87.893789,71.421667
Lori Li,19,135 Cooper Spring,South Margaretborough,Ohio,41987,6.664555,60.4999735
Alexis Jones,42,346 William Trail Apt. 647,East Jenniferborough,Georgia,26045,-120.358747,-40.255254
Paul George,65,345 Erica Harbor,New Leah,Maryland,10048,107.565063,26.258227
Angelica Lopez,21,9729 Hebert Lake Suite 977,Claireton,New Hampshire,83001,-104.967837,-48.911177
Sean Nunez,51,2300 Carr Ramp Apt. 621,East Caitlin,Nebraska,74714,-78.371571,68.049885
Rachel Jensen,20,9667 Jones Island,Riverahaven,Kentucky,21386,-111.253148,78.1462885
Paula Young,52,75878 Kimberly Well,Fullerbury,Washington,84298,20.406535,-80.646570
Steven Stewart,66,106 Martha Rest Suite 903,Millerville,North Carolina,43510,172.404101,-86.948324
Steven Owens,35,08984 Perez Shoal Apt. 765,New Jessica,Maine,97320,-99.352935,56.794099
John Richardson,41,8899 Kimberly Rapid Apt. 201,Anthonyside,Rhode Island,03377,169.833283,27.1241205
Stefanie Sanchez,50,475 Davis Course Suite 018,East Mary,Ohio,63773,147.039405,-14.6042355
Michael Williams,73,71819 David Spur Apt. 719,Coxside,West Virginia,13073,-140.554822,-35.4876105
David Hernandez,47,3527 James Isle,Kaylachester,Iowa,87265,-31.254484,65.7528865
Valerie Ellis,28,5523 Ward Road Apt. 369,West Jason,New Mexico,19738,158.071256,43.3581525
Nicholas Gilbert,48,9417 Steven Mountains Apt. 408,North Brandon,Nevada,34623,-99.858429,-75.113570
William Aguilar,30,00318 Young Harbor,Amandaside,Pennsylvania,35995,52.998844,-20.143803
Chad Weber,59,64888 Swanson Plaza,New Michelefurt,Kentucky,96810,-19.406739,68.0879655
Belinda Vargas,79,82918 Wheeler Corner,North Gregorystad,Pennsylvania,44007,-63.881054,-23.8116155
Mary Bridges,68,425 Gregory Parkways,Bankschester,West Virginia,11979,-175.015103,-42.6274145
Andrew Haynes,45,259 Rivera Ramp,Christopherberg,Florida,54659,87.440977,-54.508659
Taylor Bennett,43,582 Kevin Courts,New Amandahaven,Tennessee,92809,-160.132564,21.371303
Courtney Crawford,56,5898 Kenneth Terrace,New Brandy,Montana,94379,-60.641954,9.8369005
Michele Williams,57,8000 Ball Ranch Apt. 176,Pattyland,Arkansas,51267,161.441303,37.096577
Samantha Rojas,47,44051 Julie Greens,Rodgerschester,Montana,44080,63.096181,-49.936626
Madison Davis,66,670 Bruce Pines,Jameschester,Florida,36237,-78.273888,-55.891864
Michelle Hopkins,35,730 Brett Underpass,North Calvinview,South Dakota,38246,-178.224263,-76.860535
Margaret Ferguson,73,2909 Alexander Fords Suite 703,Suarezton,New Jersey,33227,161.622425,-86.347369
Sharon Thomas,79,841 Washington Shores Apt. 521,South Sierraside,Minnesota,81527,-176.099244,40.9883615
Brandon Thompson,68,676 Brooks Burgs Suite 773,Solischester,Nebraska,32751,-179.919033,80.603074
Samantha Saunders,66,3356 Butler Creek Apt. 275,Castilloton,Mississippi,08973,70.425280,-32.271989
Jessica Walsh,28,219 Rice Trace Apt. 957,East Matthewview,Louisiana,83852,69.433816,-72.498381
Jamie Freeman,68,033 Kemp Summit,Clarkborough,Delaware,78119,163.812370,-29.2474255
Natalie Beck,38,87942 Garner Station,North Jessica,Delaware,76286,-111.542011,-59.054478
Benjamin Cunningham,41,51690 Jones Plains,North Sean,Ohio,90155,79.644160,-24.648300
Samantha Ramos,35,8297 Ayers Grove Apt. 297,Port Francis,Maine,08172,62.196410,8.700809
Carol Walker,58,04642 Brown Brook Suite 280,Jamesview,Texas,10201,141.712927,39.6450435
Mrs. Brandy Roberts,37,8924 Haynes Fall,East Josephhaven,North Dakota,17505,-141.178670,16.264800
Scott Mccormick,71,75013 Collins Branch,South Christina,Utah,45133,-66.957546,58.861513
Darren Villegas,24,11458 Dennis Trace,South Georgetown,Arizona,35311,125.294163,-71.7063825
Heather Brown,62,34785 Romero Mall,Deanshire,Georgia,40422,-115.678607,-62.294877
Bradley Smith,54,31090 Cunningham Union,Deborahton,Massachusetts,61420,174.515308,10.849947
William Mendoza,33,18694 Smith Via,Riveraside,Maryland,11125,118.857792,-22.481166
Pam Ellis,41,5313 Warren Drives,Melissaland,Mississippi,90842,-14.109040,-64.981226
Jeffrey Barnes,47,25716 Andrea Alley,South Micheleville,Washington,27866,-39.570354,-33.0006895
Tammie Gardner,18,35712 Michelle Locks,New Jasonfort,Montana,18687,-142.089969,-27.733642
Gary Blair,75,0140 Joseph Shoal,Aaronbury,Indiana,23633,26.014475,46.042887
Lisa Peters,23,10260 Jimenez Summit,Davidshire,Mississippi,68974,158.811666,-29.9987825
Crystal Perez,25,1352 Howard Station Suite 356,Washingtonborough,Wyoming,54593,-157.392163,-6.4445235
Michael Sutton,24,792 Margaret Place Suite 291,West Deborah,Oregon,14359,-20.509699,20.195470
Melissa Greer,30,11597 Smith Plains Apt. 629,Timothyfurt,West Virginia,66486,-72.069764,-14.1874895
John Moss,27,75129 Brian Shoal Apt. 007,Wilsontown,Hawaii,48459,138.303524,-23.3396555
Crystal Thomas,30,996 Potter Land Apt. 275,Amystad,Florida,79439,135.016283,32.159103
Larry Thompson,71,493 Erika Hollow Apt. 657,Jacksonport,North Dakota,50823,-90.186813,-35.439501
Brandon Robbins,74,7076 Michael Forks,North Brittanyland,Delaware,76183,66.259480,-89.973915
Brian Lawrence,52,826 Jennifer Lodge Suite 846,Espinozaburgh,Alaska,79583,-159.402228,11.1054515
Amy Mcdonald MD,79,3723 Wyatt Village Suite 221,Benjaminton,Arkansas,37782,-100.723416,-2.875652
Heather Davidson DDS,21,72062 Espinoza Hill,Courtneyview,New Jersey,17834,47.510442,-13.1955685
Madison Mcclain,63,944 Carter Wells,South Lindseyberg,Nevada,48146,-76.955123,-77.385802
Rebecca Keith,71,35405 Barton View Suite 252,South Jennifer,Louisiana,44301,13.694763,75.679446
Kenneth Andrews,71,197 Johnson Light Suite 407,West Mackenzieside,New Hampshire,75689,52.361871,22.093167
Robin Huff,56,638 Jamie Place,Jessicaberg,Missouri,00709,-163.292966,63.2832245
Amanda Escobar,35,4814 Melissa Spring,Albertview,Wyoming,50161,-40.777706,38.0831065
Edward Washington,41,460 Garcia Ways Suite 515,South Allisonburgh,Kentucky,52079,99.690533,6.944845
Connor Palmer,36,9321 Stephen Island,Janetfort,South Carolina,54455,-100.813204,80.1638525
Kenneth Lambert,54,616 Daniel Alley,East Alexandra,Wyoming,92987,53.370412,33.0265995
Kyle Ramirez,72,6218 Sarah Vista,Stevenfurt,Illinois,59028,-45.617590,85.1075575
Evan Lawrence,26,855 Benjamin Club,Zavalaton,Nebraska,09448,66.617252,-32.419142
Erin Williams,54,96159 Johnson Forks,New Lisafurt,Wisconsin,51541,1.470003,-27.558426
Stephen Gay,45,16476 Huff Rapid,North Charlesbury,Louisiana,78529,-79.316121,7.9444475
Crystal Short,35,0660 Valentine Parks Suite 655,South Robert,Maine,58372,-36.503238,69.515585
Travis Cook,62,6711 Meghan Springs Suite 058,Michellemouth,Arizona,31634,69.275405,59.7896355
Cathy Hinton,60,2124 Martin Meadow,West Donaldburgh,Maine,54843,-156.982495,81.716004
Carla Petersen,58,4119 Hester Court Apt. 939,Joshuachester,Arizona,79789,174.495227,9.805922
Sherri Hoffman,31,99429 Jimmy Fort Apt. 570,Port Davidland,Idaho,34509,14.176174,-64.070370
Melinda Morse,40,4248 Thornton Turnpike Apt. 355,New Michaelbury,New York,10187,23.084171,-43.894936
Victor Rice,77,490 Thomas Shoals,Karatown,California,95013,171.894730,77.4121295
Anthony Moore,77,44091 Stone Isle Apt. 657,Meganmouth,Oregon,39507,-105.494989,-83.9506905
Nathan Lopez,78,125 Linda Ridges Apt. 971,Wendyfurt,Arizona,80251,-138.933654,13.6121085
Kyle Soto,76,6325 Phillips Extensions,Wendyborough,Delaware,32894,143.369433,-38.6359245
Jason Martinez,69,1887 Valerie Oval Apt. 861,Kaitlynland,Indiana,40908,-121.978340,-3.3231655
Brian Cunningham,78,490 Nathan Overpass,Andrewmouth,Montana,44857,10.491776,-72.307136
Donald Harrison,27,036 Carla Summit,Lake Jennifer,New York,46403,-27.872214,-59.4403075
Russell Pearson,32,30401 Alyssa Junctions Apt. 992,South Madisonside,Alaska,38595,17.229480,-13.274903
Richard Sanders,65,5774 Thomas Grove,Racheltown,Oklahoma,59038,94.908997,74.0542045
Sarah Jones,60,32436 George Fords Suite 806,Myersmouth,Maryland,63284,-148.235122,48.267918
Alexis Gallagher,56,073 Blankenship Ferry Suite 580,Anthonymouth,Utah,71366,-68.265966,-1.1966105
Erik Castillo,19,7975 Franco Pike Suite 616,Cohenshire,Washington,99809,21.209403,-81.4597545
Adrian Parker,19,1756 Tami Crest,Jonesville,Alaska,65289,158.867443,61.0393145
Kylie Gonzales,28,174 Ramirez Skyway Suite 768,Richardsonton,Indiana,76203,70.264779,66.176906
Melanie Clark,42,09826 Hernandez Manor,Bryantown,Wyoming,39787,-129.488462,51.2082175
Richard Lopez,62,04826 Brett Stream Apt. 018,Grahamfurt,Delaware,27909,150.841972,68.0004415
Terry Thompson,45,76508 Perry Square Apt. 318,Ashleyport,Nevada,05649,-141.662791,-20.1244715
Wendy Adams,23,558 Richard Shoals Apt. 239,Nealfurt,Oklahoma,67947,-174.322939,63.296658
Kimberly Hernandez,24,4319 Christopher Prairie,North Juliemouth,North Dakota,64475,-2.894389,-10.9585715
Jennifer Nguyen,25,5256 Perez Views,Samanthaland,Oklahoma,49326,64.231110,-23.2885925
Joanna Sanders,42,159 Nathaniel Road Apt. 004,West Guy,Florida,73952,-43.787519,-81.333219
Terri Reed,69,019 Lee Locks Apt. 997,Lake Stephen,Wisconsin,29772,-52.997438,-55.8659415
Mrs. Valerie Coleman DDS,74,0147 Jennifer Island,Stevenhaven,Mississippi,21835,45.672222,-11.7506105
Molly Hernandez,48,726 Ray Parkways Apt. 990,Hansonmouth,Delaware,95665,111.206583,16.1469085
Joshua Small,21,7261 Marshall Hills Apt. 639,East Amy,Oklahoma,24985,17.797796,47.8835315
Anna Hernandez,69,6464 Lopez Turnpike Apt. 649,Langside,Oregon,48706,-132.191701,-18.6640205
Charles Le,52,5905 Vicki Crescent Suite 038,Jaimehaven,Arizona,41840,-99.042035,83.103058
Mr. James Baker Jr.,31,2546 Buchanan Cliffs,North Janice,Arkansas,66743,99.822766,78.5923265
Carla Evans,70,7296 Michael Roads,Kelleystad,California,55214,23.954827,74.7566165
Michael Briggs,66,95402 Jessica Keys,Melissaburgh,Iowa,96696,-1.816213,74.4175865
Amy Nguyen,47,7458 Prince Valley Suite 206,Woodview,Minnesota,86966,176.634728,28.5978535
Alexis Pierce,64,114 Kevin Flats Suite 867,Alexanderland,South Dakota,61072,25.554838,49.3106945
Jacob Walker,51,9303 Rebecca Rapids Suite 347,East Andreahaven,Washington,48217,-143.715040,8.8343325
Michael Cruz,53,4758 Brown Stravenue Apt. 221,Port Anthonyfort,Nevada,03739,-154.935662,-88.737838
Jeanne Watkins,25,98022 John Crossing,Amyburgh,Florida,93405,98.215809,74.3435735
Mary Dudley,36,591 Shawn Avenue Apt. 080,New Stefanie,Alabama,30056,-117.189899,-70.357383
Theresa Leonard,31,88764 Lori Light,Port Anthonyberg,New Mexico,23255,-119.452198,46.434040
Mr. Robert Gonzalez DDS,30,13476 Walker Park,North Kellyberg,New Jersey,49636,88.503176,18.342088
Nicole Yates,27,33304 Robert Wells Suite 900,Ianhaven,Alaska,55648,-29.217302,-58.1206595
Rhonda Cooper,33,5519 Davila Point,Lake Mariaport,Virginia,10775,22.397166,82.2385865
Paula Taylor,60,104 Sims Station Apt. 098,New Beckyfort,New Jersey,58536,-172.871448,44.8648555
Alexis Gardner,47,385 Christopher Harbors Apt. 947,North Robert,Nevada,04310,-87.342428,-0.719906
Richard Raymond,35,49047 Stephanie Center,Lake Ralphport,Texas,51925,25.218430,-17.629718
Carrie Jacobs,68,1623 Weaver Forks,East Hollyton,Colorado,81402,146.032343,51.882851
Nancy Olsen,32,80465 Arroyo Heights,New Kevinfort,Minnesota,34114,161.190940,-36.679992
Felicia Richardson,25,66377 Kevin Creek,New Haroldburgh,West Virginia,45018,-87.489787,-2.6006065
Mrs. Jennifer Dyer,78,1683 Robert Branch,Port Monica,Michigan,88884,-22.494334,-51.923430
Sara Smith,48,3016 Antonio Walks Apt. 852,Lake James,Missouri,09678,-141.547326,-78.3279725
Amanda Davis,75,0867 Mueller Mills,New Darius,Nevada,42312,81.374353,-17.455298
Alexa Fuller,73,7249 Phillips Knoll Apt. 712,North Brianton,New York,90401,-41.463946,-47.9029455
Richard Smith,31,5597 Jackson Garden Apt. 031,East Steven,New Jersey,69783,-153.191491,-57.2255835
Kenneth Torres,78,2055 Harris Extensions Suite 935,Meghantown,Alabama,45356,-33.535061,83.897412
Rita Hodges,72,5607 Hayes Fields Suite 024,Sierraland,Connecticut,84767,158.659368,-54.6725935
Heidi Brown,46,1935 Miller Forges,Barrychester,Wyoming,54076,-34.104789,70.2480605
Elizabeth French,72,482 Vasquez Greens Suite 726,Rodneyview,Washington,85817,-116.091634,-56.369018
Philip Gross,74,7432 Freeman Parkway,Melissastad,North Dakota,55523,-179.837570,-63.8910545
Jaime Porter,18,9699 Hale Plaza,Youngview,Nebraska,57953,125.136918,-79.211538
Paula Griffin,62,238 Lopez Alley,Matthewview,Oklahoma,17150,79.630054,-1.4752005
Jessica Gutierrez,51,87082 Martinez Inlet,North Destiny,Arizona,72357,126.599223,-69.626988
Darrell Alexander,27,287 Ruiz Grove Suite 589,Jasonberg,Louisiana,18732,-169.489400,54.501929
Jamie Lane,80,034 Ashley Burgs Suite 041,Sharonstad,Georgia,48573,3.978589,-73.223906
Stephanie Sanders,44,29485 Summers Freeway Apt. 714,Sanchezbury,South Dakota,97133,-68.913014,45.155808
Jessica Luna MD,43,4095 Barnes Ramp,South Karen,Wyoming,77232,-133.562413,-3.4101445
James Spencer,38,7464 Diane Bypass,Nathanhaven,Virginia,22658,11.950911,-59.6077115
Rebecca Hill,46,5538 Nicole Ports Suite 016,Greenborough,Tennessee,79439,-69.171497,12.7895185
Tyler Nixon,72,6688 Hayes Island,Weaverchester,Texas,87719,93.579555,41.5729205
Katherine Morgan,46,62070 Amber Junctions,West David,Michigan,29433,49.913921,59.330637
Brenda Johnson,31,7668 Ward Union,Lake Anthonyhaven,Illinois,76340,-131.743998,17.754886
Scott Reynolds,68,92558 Miller Fields,Whitehaven,Hawaii,62920,-52.793496,-60.8028955
Andrea Lewis,77,3892 Wilkins Greens,Jenniferbury,New York,35867,20.401433,-10.362366
William Richard,48,626 Moore Canyon Apt. 201,West Robertbury,West Virginia,04532,-67.637952,2.7205935
Zachary Davis,41,9910 Melissa Hollow,New Amyview,Michigan,25007,-36.973653,79.266039
Kayla Watkins,78,1898 Barry Forges Suite 213,Lake Chelseafurt,Arizona,55830,-143.311456,-27.836218
Kristi Phelps,22,122 Melinda Circles Apt. 681,Steinhaven,Rhode Island,11807,95.074306,23.8432255
Kayla House,65,28047 Dodson Path Suite 216,East Matthew,Oregon,68048,-6.324755,77.863783
Tyler Gutierrez,48,540 Catherine Falls,New Vickieland,North Dakota,30145,60.040401,-21.5726555
Jennifer Moody,67,9596 Hudson Drive,Port Cameronland,West Virginia,10263,-172.714492,-3.5634965
Kelly Johnson,30,65433 Ashley Burg,Roseport,Montana,96763,98.105616,35.757711
Joseph Simpson,23,76891 Ann Stravenue,Walterschester,Massachusetts,50205,-9.884180,-19.8102425
Jerry Lopez,80,40441 Jeffrey Locks,West Megan,Missouri,60670,-92.665204,13.397863
Joseph Serrano,80,12909 Owens Port,Greenetown,Arkansas,52800,-120.588140,18.6276875
Eric Clark,29,3350 Timothy Roads,Danielfurt,Tennessee,11824,-69.284091,-75.598277
Michael Smith,42,1097 Shaw Flat Apt. 642,New Keithmouth,Texas,05627,-95.900848,-83.9544875
Shelby Smith,25,266 Paul Villages Apt. 816,Douglasville,Texas,46381,-39.080163,74.4732615
Matthew Fowler,28,97054 Hernandez Well Apt. 068,East Francisco,Illinois,26987,71.027073,-49.508580
Tyler Howard,37,15368 Karen Forge,Bennettberg,New Hampshire,63703,132.246794,-38.444306
Jessica Joseph,52,210 Dixon Mountain Suite 011,Robertshire,New York,75123,137.770575,39.584123
Rhonda James,18,890 Velez Plaza,New Stephaniechester,Washington,44182,-111.002307,-53.7741185
Kim Taylor,52,532 Jones Inlet Apt. 420,Lake Cynthiaside,Delaware,37724,154.716807,76.9767925
Steven Davis,47,819 Suzanne Gardens Apt. 442,South Lauratown,Alaska,79980,0.053542,7.9377185
Morgan Ross,18,30482 Regina Inlet Suite 576,Cranehaven,Texas,48384,82.677356,-7.660865
Cynthia Mendoza,26,5226 Lori Loop,Colliermouth,North Dakota,82621,75.719121,-22.851452
Amy Griffith,24,46745 Bartlett Streets,Port Charles,South Dakota,48277,-135.807337,-35.1198765
Corey Prince,18,57796 Andrew Parkway,South Lindachester,Wisconsin,44602,-172.487631,-25.706590
Ann Gonzalez,65,974 Franklin Trail Apt. 789,Richardville,Utah,63285,155.863148,74.6749665
Lindsey Wright,53,77506 Acosta View,West Williamview,Virginia,14699,75.771995,-51.2201955
Jill Galvan,64,344 Jones Brooks Suite 711,Spencermouth,Ohio,85379,-158.569471,31.056490
Nicole Bishop,69,8375 George Passage,South Stefanieberg,Kansas,95224,4.205847,-80.615672
Emily Farmer,26,23355 Frederick Court Suite 573,East Angela,Mississippi,53420,-171.707411,-13.7866245
Kimberly Lee,65,139 Christopher Common,South Karenmouth,Florida,59885,-127.653592,-27.8686295
Isaiah Romero,67,92098 Murray Camp,Janicefort,West Virginia,97306,-66.134202,-19.932571
Tiffany Osborne,36,213 Jessica Centers Suite 563,Danielleville,Virginia,38020,-34.581440,-69.098504
William Smith,56,4917 Watson Corners Suite 433,North Joshua,Maryland,63771,-164.878793,-66.157609
Nathaniel Knapp,66,7338 Perez Courts Suite 830,Lake Margaretport,Montana,50912,-0.127151,66.120936
Diana Perry,21,62503 Harris Ranch,New James,Delaware,09215,141.720685,10.021337
John White,74,52105 Burns Extensions Apt. 301,Lake Maryport,Nebraska,83889,86.632983,-19.8562805
Elizabeth Ortega,18,78321 Edward Lodge Suite 727,North Josephport,Vermont,50666,115.722726,-12.6816695
Shawn Reese,28,4365 Ryan Gardens Apt. 468,Cochranhaven,New Hampshire,06597,41.406322,-14.443114
Valerie Simmons,73,53960 Hopkins Estates,North Lisaberg,Connecticut,79453,-38.705144,48.6784855
Gregory Thompson,45,658 Mosley Crescent Apt. 421,Wigginsville,Oklahoma,44465,27.415601,-86.7832585
Kimberly Warren,66,6347 Tracy Garden,Aaronmouth,Ohio,52680,107.069889,17.6451475
Lynn Hughes,75,0983 Brandon Pike,West Meganmouth,Texas,77689,-108.373992,-83.586915
Jose Taylor,79,339 Chase Union,South Sherylborough,Colorado,03474,85.957692,76.9855625
Stephanie Gould,62,8919 Scott Villages,Pollardstad,Kentucky,78165,63.587204,43.4548655
Brian Suarez,76,3043 Gray Park,North Toddtown,California,99442,151.639405,-38.395782
